Unnamed: 0,uid,user_city,item_id,author_id,item_city,channel,finish,like,music_id,duration_time,real_time,H,date
5278501,18187,40.0,665432,36803,23.0,0,0,0,25.0,9,2019-10-28 21:08:20,21,2019-10-28
3120907,2706,203.0,430138,38119,1.0,0,0,0,2126.0,42,2019-10-25 03:10:12,3,2019-10-25
4908232,21280,62.0,2939334,231021,261.0,0,1,0,110.0,10,2019-10-23 08:57:52,8,2019-10-23
4944022,2840,319.0,162632,32736,51.0,0,0,0,5371.0,36,2019-10-23 22:51:33,22,2019-10-23
3200113,34281,133.0,1421148,184133,331.0,0,0,0,33963.0,10,2019-10-13 01:17:04,1,2019-10-13
2549454,7304,121.0,19442,24553,223.0,0,1,0,25.0,9,2019-10-21 20:36:10,20,2019-10-21
4347053,11479,250.0,2999416,256643,23.0,0,0,0,296.0,6,2019-09-30 04:28:27,4,2019-09-30
5096048,18698,94.0,633948,3740,0.0,0,0,0,1958.0,25,2019-10-28 21:55:39,21,2019-10-28
4853218,4251,5.0,319654,111729,293.0,0,0,0,5662.0,6,2019-10-23 06:22:29,6,2019-10-23
4773142,14931,123.0,639582,41891,60.0,0,0,0,198.0,10,2019-10-15 08:25:49,8,2019-10-15
3861838,45443,167.0,575279,339362,24.0,0,0,0,238.0,9,2019-10-07 20:20:53,20,2019-10-07
3560167,3282,91.0,156556,960,24.0,0,0,0,1348.0,8,2019-10-14 22:48:44,22,2019-10-14
2355951,34075,262.0,5050,8337,190.0,0,0,0,1254.0,9,2019-10-21 03:55:18,3,2019-10-21
825765,59061,31.0,127304,73945,48.0,0,0,0,277.0,10,2019-10-14 01:22:15,1,2019-10-14
214245,13624,174.0,1351771,625,165.0,0,1,0,7626.0,10,2019-10-22 00:09:29,0,2019-10-22
4784551,46674,35.0,476045,11787,0.0,0,1,0,5173.0,10,2019-10-16 01:20:56,1,2019-10-16
941472,19718,1.0,2060,65560,113.0,0,1,0,2412.0,10,2019-10-26 05:05:58,5,2019-10-26
4800682,1243,6.0,394938,705,26.0,0,0,0,2069.0,6,2019-10-27 02:35:08,2,2019-10-27
